M,Y,max_temperature
Jan,1997,26
Jan,1998,27
Jan,1999,26
Jan,2000,25
Jan,2001,25
Jan,2002,26
Jan,2003,25
Jan,2004,24
Jan,2005,24
Jan,2006,26
Jan,2007,24
Jan,2008,27
Jan,2009,25
Jan,2010,26
Jan,2011,18
Jan,2012,23
Jan,2013,25
Jan,2014,25
Jan,2015,25
Jan,2016,25
Jan,2017,27
Feb,1997,26
Feb,1998,27
Feb,1999,28
Feb,2000,25
Feb,2001,27
Feb,2002,26
Feb,2003,27
Feb,2004,26
Feb,2005,26
Feb,2006,26
Feb,2007,26
Feb,2008,21
Feb,2009,29
Feb,2010,29
Feb,2011,28
Feb,2012,27
Feb,2013,27
Feb,2014,26
Feb,2015,28
Feb,2016,28
Feb,2017,26
Mar,1997,28
Mar,1998,29
Mar,1999,31
Mar,2000,28
Mar,2001,29
Mar,2002,28
Mar,2003,28
Mar,2004,27
Mar,2005,28
Mar,2006,28
Mar,2007,30
Mar,2008,28
Mar,2009,29
Mar,2010,29
Mar,2011,28
Mar,2012,30
Mar,2013,30
Mar,2014,29
Mar,2015,29
Mar,2016,27
Mar,2017,27
Apr,1997,29
Apr,1998,33
Apr,1999,32
Apr,2000,29
Apr,2001,33
Apr,2002,33
Apr,2003,32
Apr,2004,32
Apr,2005,30
Apr,2006,33
Apr,2007,31
Apr,2008,31
Apr,2009,30
Apr,2010,29
Apr,2011,31
Apr,2012,31
Apr,2013,31
Apr,2014,30
Apr,2015,32
Apr,2016,30
Apr,2017,31
May,1997,32
May,1998,33
May,1999,32
May,2000,33
May,2001,33
May,2002,34
May,2003,33
May,2004,33
May,2005,32
May,2006,33
May,2007,34
May,2008,33
May,2009,33
May,2010,32
May,2011,33
May,2012,34
May,2013,34
May,2014,34
May,2015,34
May,2016,33
May,2017,33
June,1997,32
June,1998,33
June,1999,35
June,2000,34
June,2001,35
June,2002,35
June,2003,34
June,2004,36
June,2005,34
June,2006,35
June,2007,35
June,2008,34
June,2009,34
June,2010,34
June,2011,36
June,2012,34
June,2013,36
June,2014,36
June,2015,36
June,2016,36
June,2017,35
July,1997,35
July,1998,34
July,1999,35
July,2000,35
July,2001,34
July,2002,35
July,2003,35
July,2004,37
July,2005,37
July,2006,37
July,2007,35
July,2008,36
July,2009,35
July,2010,36
July,2011,36
July,2012,36
July,2013,35
July,2014,35
July,2015,35
July,2016,36
July,2017,37
Aug,1997,37
Aug,1998,35
Aug,1999,36
Aug,2000,35
Aug,2001,35
Aug,2002,35
Aug,2003,35
Aug,2004,36
Aug,2005,34
Aug,2006,34
Aug,2007,35
Aug,2008,34
Aug,2009,36
Aug,2010,35
Aug,2011,36
Aug,2012,36
Aug,2013,34
Aug,2014,36
Aug,2015,37
Aug,2016,35
Aug,2017,37
Sept,1997,33
Sept,1998,34
Sept,1999,34
Sept,2000,33
Sept,2001,34
Sept,2002,34
Sept,2003,34
Sept,2004,34
Sept,2005,35
Sept,2006,34
Sept,2007,34
Sept,2008,35
Sept,2009,35
Sept,2010,35
Sept,2011,35
Sept,2012,34
Sept,2013,34
Sept,2014,35
Sept,2015,34
Sept,2016,35
Sept,2017,35
Oct,1997,32
Oct,1998,33
Oct,1999,33
Oct,2000,33
Oct,2001,33
Oct,2002,31
Oct,2003,32
Oct,2004,32
Oct,2005,34
Oct,2006,32
Oct,2007,33
Oct,2008,32
Oct,2009,33
Oct,2010,34
Oct,2011,31
Oct,2012,31
Oct,2013,32
Oct,2014,35
Oct,2015,33
Oct,2016,32
Oct,2017,35
Nov,1997,31
Nov,1998,30
Nov,1999,29
Nov,2000,28
Nov,2001,30
Nov,2002,29
Nov,2003,33
Nov,2004,29
Nov,2005,31
Nov,2006,31
Nov,2007,29
Nov,2008,31
Nov,2009,32
Nov,2010,28
Nov,2011,32
Nov,2012,30
Nov,2013,31
Nov,2014,30
Nov,2015,31
Nov,2016,31
Dec,1997,27
Dec,1998,28
Dec,1999,24
Dec,2000,26
Dec,2001,29
Dec,2002,29
Dec,2003,27
Dec,2004,27
Dec,2005,26
Dec,2006,29
Dec,2007,27
Dec,2008,27
Dec,2009,25
Dec,2010,28
Dec,2011,25
Dec,2012,27
Dec,2013,25
Dec,2014,26
Dec,2015,28
Dec,2016,27
