M,Y,min_temperature
Jan,1997,10
Jan,1998,9
Jan,1999,9
Jan,2000,7
Jan,2001,10
Jan,2002,8
Jan,2003,7
Jan,2004,7
Jan,2005,5
Jan,2006,8
Jan,2007,10
Jan,2008,7
Jan,2009,8
Jan,2010,10
Jan,2011,6
Jan,2012,7
Jan,2013,10
Jan,2014,10
Jan,2015,11
Jan,2016,3
Jan,2017,13
Feb,1997,11
Feb,1998,9
Feb,1999,12
Feb,2000,8
Feb,2001,10
Feb,2002,9
Feb,2003,12
Feb,2004,7
Feb,2005,8
Feb,2006,10
Feb,2007,11
Feb,2008,7
Feb,2009,15
Feb,2010,7
Feb,2011,8
Feb,2012,9
Feb,2013,11
Feb,2014,6
Feb,2015,11
Feb,2016,8
Feb,2017,10
Mar,1997,14
Mar,1998,12
Mar,1999,12
Mar,2000,19
Mar,2001,14
Mar,2002,14
Mar,2003,10
Mar,2004,13
Mar,2005,9
Mar,2006,9
Mar,2007,11
Mar,2008,11
Mar,2009,13
Mar,2010,8
Mar,2011,13
Mar,2012,12
Mar,2013,13
Mar,2014,14
Mar,2015,15
Mar,2016,10
Mar,2017,14
Apr,1997,19
Apr,1998,19
Apr,1999,18
Apr,2000,19
Apr,2001,15
Apr,2002,17
Apr,2003,19
Apr,2004,18
Apr,2005,14
Apr,2006,15
Apr,2007,12
Apr,2008,17
Apr,2009,17
Apr,2010,13
Apr,2011,18
Apr,2012,19
Apr,2013,16
Apr,2014,18
Apr,2015,15
Apr,2016,20
Apr,2017,16
May,1997,21
May,1998,21
May,1999,18
May,2000,22
May,2001,23
May,2002,23
May,2003,22
May,2004,19
May,2005,14
May,2006,20
May,2007,21
May,2008,20
May,2009,21
May,2010,21
May,2011,20
May,2012,25
May,2013,18
May,2014,19
May,2015,23
May,2016,21
May,2017,22
June,1997,23
June,1998,22
June,1999,25
June,2000,22
June,2001,24
June,2002,24
June,2003,24
June,2004,25
June,2005,19
June,2006,23
June,2007,23
June,2008,24
June,2009,24
June,2010,21
June,2011,24
June,2012,26
June,2013,23
June,2014,25
June,2015,25
June,2016,25
June,2017,25
July,1997,23
July,1998,24
July,1999,26
July,2000,25
July,2001,24
July,2002,24
July,2003,27
July,2004,24
July,2005,25
July,2006,25
July,2007,25
July,2008,24
July,2009,24
July,2010,24
July,2011,26
July,2012,24
July,2013,25
July,2014,26
July,2015,25
July,2016,25
July,2017,25
Aug,1997,25
Aug,1998,25
Aug,1999,24
Aug,2000,25
Aug,2001,25
Aug,2002,24
Aug,2003,25
Aug,2004,25
Aug,2005,24
Aug,2006,25
Aug,2007,25
Aug,2008,24
Aug,2009,25
Aug,2010,25
Aug,2011,25
Aug,2012,26
Aug,2013,25
Aug,2014,24
Aug,2015,25
Aug,2016,25
Aug,2017,25
Sept,1997,20
Sept,1998,24
Sept,1999,23
Sept,2000,24
Sept,2001,25
Sept,2002,23
Sept,2003,23
Sept,2004,24
Sept,2005,24
Sept,2006,20
Sept,2007,25
Sept,2008,25
Sept,2009,25
Sept,2010,24
Sept,2011,23
Sept,2012,24
Sept,2013,24
Sept,2014,26
Sept,2015,25
Sept,2016,23
Sept,2017,26
Oct,1997,19
Oct,1998,21
Oct,1999,20
Oct,2000,19
Oct,2001,21
Oct,2002,18
Oct,2003,20
Oct,2004,20
Oct,2005,20
Oct,2006,23
Oct,2007,21
Oct,2008,23
Oct,2009,23
Oct,2010,16
Oct,2011,21
Oct,2012,18
Oct,2013,19
Oct,2014,23
Oct,2015,19
Oct,2016,21
Oct,2017,20
Nov,1997,16
Nov,1998,18
Nov,1999,12
Nov,2000,13
Nov,2001,13
Nov,2002,15
Nov,2003,13
Nov,2004,16
Nov,2005,15
Nov,2006,18
Nov,2007,12
Nov,2008,12
Nov,2009,9
Nov,2010,17
Nov,2011,17
Nov,2012,13
Nov,2013,13
Nov,2014,18
Nov,2015,15
Nov,2016,13
Dec,1997,12
Dec,1998,14
Dec,1999,5
Dec,2000,11
Dec,2001,8
Dec,2002,6
Dec,2003,10
Dec,2004,7
Dec,2005,10
Dec,2006,12
Dec,2007,12
Dec,2008,10
Dec,2009,10
Dec,2010,5
Dec,2011,10
Dec,2012,7
Dec,2013,9
Dec,2014,11
Dec,2015,11
Dec,2016,11
