State,Year,Totals.Expenditure
ALABAMA,1992,9650515
ALABAMA,1993,10242374
ALABAMA,1994,10815221
ALABAMA,1995,11541881
ALABAMA,1996,12126587
ALABAMA,1997,12944867
ALABAMA,1998,13728431
ALABAMA,1999,14701938
ALABAMA,2000,15872589
ALABAMA,2001,16718151
ALABAMA,2002,17996418
ALABAMA,2003,18471110
ALABAMA,2004,19544560
ALABAMA,2012,30813117
ALABAMA,2013,31382719
ALABAMA,2014,31758035
ALABAMA,2015,32459306
ALABAMA,2016,31582710
ALABAMA,2017,31236831
ALABAMA,2018,32708378
ALABAMA,2019,34420325
ALASKA,1992,5254925
ALASKA,1993,5423008
ALASKA,1994,5751517
ALASKA,1995,5599033
ALASKA,1996,5629502
ALASKA,1997,5722455
ALASKA,1998,5803173
ALASKA,1999,6140559
ALASKA,2000,6611154
ALASKA,2001,7072000
ALASKA,2002,7402469
ALASKA,2003,8121540
ALASKA,2004,8089240
ALASKA,2012,11729460
ALASKA,2013,12214628
ALASKA,2014,12926157
ALASKA,2015,13006370
ALASKA,2016,12359938
ALASKA,2017,11301460
ALASKA,2018,13196041
ALASKA,2019,11525057
IDAHO,1992,2604107
IDAHO,1993,2775537
IDAHO,1994,2989324
IDAHO,1995,3360314
IDAHO,1996,3501298
IDAHO,1997,3674210
IDAHO,1998,3785613
IDAHO,1999,4230335
IDAHO,2000,4492552
IDAHO,2001,4951659
IDAHO,2002,5234047
IDAHO,2003,5415138
IDAHO,2004,5762624
IDAHO,2012,8299878
IDAHO,2013,8531736
IDAHO,2014,8735788
IDAHO,2015,8869375
IDAHO,2016,9161671
IDAHO,2017,9584602
IDAHO,2018,10438522
IDAHO,2019,11152978
MAINE,1992,3721512
MAINE,1993,3888537
MAINE,1994,3901756
MAINE,1995,4179160
MAINE,1996,4239839
MAINE,1997,4441284
MAINE,1998,4606471
MAINE,1999,4864878
MAINE,2000,5448061
MAINE,2001,5737911
MAINE,2002,6264883
MAINE,2003,6706116
MAINE,2004,7305731
MAINE,2012,8889996
MAINE,2013,8789329
MAINE,2014,9161773
MAINE,2015,8605330
MAINE,2016,8917608
MAINE,2017,9150721
MAINE,2018,9370699
MAINE,2019,9719601
MONTANA,1992,2459779
MONTANA,1993,2663089
MONTANA,1994,2777675
MONTANA,1995,2987807
MONTANA,1996,3136205
MONTANA,1997,3203897
MONTANA,1998,3262167
MONTANA,1999,3511965
MONTANA,2000,3718168
MONTANA,2001,4048049
MONTANA,2002,4265076
MONTANA,2003,4436890
MONTANA,2004,4691318
MONTANA,2012,6362612
MONTANA,2013,6477930
MONTANA,2014,6637771
MONTANA,2015,6733629
MONTANA,2016,7020952
MONTANA,2017,7791483
MONTANA,2018,7849765
MONTANA,2019,8033903
OKLAHOMA,1992,8183213
OKLAHOMA,1993,8272337
OKLAHOMA,1994,8492554
OKLAHOMA,1995,8989785
OKLAHOMA,1996,9265486
OKLAHOMA,1997,9592711
OKLAHOMA,1998,9952733
OKLAHOMA,1999,10655464
OKLAHOMA,2000,10629560
OKLAHOMA,2001,13467982
OKLAHOMA,2002,14727332
OKLAHOMA,2003,15125090
OKLAHOMA,2004,14959183
OKLAHOMA,2012,22730143
OKLAHOMA,2013,23045870
OKLAHOMA,2014,23883287
OKLAHOMA,2015,24156873
OKLAHOMA,2016,24714458
OKLAHOMA,2017,25237314
OKLAHOMA,2018,25320989
OKLAHOMA,2019,25351517
UTAH,1992,4480789
UTAH,1993,4833722
UTAH,1994,5132453
UTAH,1995,5780232
UTAH,1996,6171775
UTAH,1997,6817750
UTAH,1998,7470282
UTAH,1999,7809598
UTAH,2000,8591768
UTAH,2001,9253469
UTAH,2002,10107055
UTAH,2003,10252051
UTAH,2004,10794264
UTAH,2012,17391588
UTAH,2013,17134159
UTAH,2014,17660633
UTAH,2015,18360434
UTAH,2016,19641412
UTAH,2017,20376858
UTAH,2018,21675691
UTAH,2019,22450665
VERMONT,2015,6585027
VERMONT,2016,6840342
VERMONT,2017,6843630
VERMONT,2018,6951149
VERMONT,2019,6955406
WEST VIRGINIA,1992,5261795
WEST VIRGINIA,1993,5943099
WEST VIRGINIA,1994,6189980
WEST VIRGINIA,1995,6261769
WEST VIRGINIA,1996,6576406
WEST VIRGINIA,1997,7145479
WEST VIRGINIA,1998,7148810
WEST VIRGINIA,1999,7335784
WEST VIRGINIA,2000,7551834
WEST VIRGINIA,2001,8540103
WEST VIRGINIA,2002,9409434
WEST VIRGINIA,2003,10003729
WEST VIRGINIA,2004,9879217
WEST VIRGINIA,2012,13222916
WEST VIRGINIA,2013,13234175
WEST VIRGINIA,2014,13280283
WEST VIRGINIA,2015,14252984
WEST VIRGINIA,2016,15101059
WEST VIRGINIA,2017,14646514
WEST VIRGINIA,2018,14736212
WEST VIRGINIA,2019,15175198
WYOMING,1992,1925147
WYOMING,1993,1886755
WYOMING,1994,1974897
WYOMING,1995,2045221
WYOMING,1996,2062116
WYOMING,1997,2126805
WYOMING,1998,2172024
WYOMING,1999,2372933
WYOMING,2000,2552590
WYOMING,2001,2645226
WYOMING,2002,2948182
WYOMING,2003,3264439
WYOMING,2004,3596252
WYOMING,2012,5523497
WYOMING,2013,5601135
WYOMING,2014,5651263
WYOMING,2015,6089770
WYOMING,2016,6272333
WYOMING,2017,6445250
WYOMING,2018,6308802
WYOMING,2019,6159829
